Words;Count
project;12594
research;11818
data;8990
system;8726
student;7754
use;7377
support;5141
science;5079
provide;4938
model;4699
include;4467
community;4236
design;4194
develop;4193
network;4129
learn;3727
impact;3677
development;3549
technology;3416
security;3350
tool;3313
software;2919
engineering;2887
education;2830
information;2798
application;2701
work;2622
researcher;2563
infrastructure;2514
compute;2478
resource;2471
need;2466
cybersecurity;2443
cyberinfrastructure;2419
material;2368
study;2361
scientific;2347
activity;2331
enable;2325
understand;2317
result;2294
award;2250
computational;2225
workshop;2205
control;2177
make;2173
analysis;2163
address;2141
method;2085
computer;2082
challenge;2032
increase;2021
focus;2011
area;1980
goal;1927
environment;1878
integrate;1865
process;1840
user;1840
problem;1832
large;1822
improve;1803
advance;1793
broader;1747
training;1742
propose;1725
create;1705
group;1697
program;1693
graduate;1638
developed;1620
collaboration;1610
approach;1593
effort;1572
course;1565
access;1561
base;1550
knowledge;1540
share;1531
opportunity;1513
technique;1508
scientist;1507
team;1500
simulation;1499
future;1492
framework;1474
across;1453
exist;1448
help;1445
evaluation;1435
change;1407
university;1389
critical;1384
time;1366
merit;1360
energy;1354
national;1354
service;1346
algorithm;1342
institution;1339
educational;1331
enhance;1328
potential;1327
device;1312
school;1305
physical;1300
performance;1298
capability;1292
management;1276
experience;1272
social;1271
intellectual;1262
available;1240
public;1237
structure;1231
human;1231
lead;1222
require;1215
set;1214
building;1213
communication;1213
level;1213
mission;1207
complex;1203
industry;1181
power;1166
identify;1153
dynamic;1151
practice;1150
platform;1149
interaction;1144
component;1142
aim;1134
faculty;1131
current;1121
professional;1114
distribute;1114
allow;1103
state;1099
college;1095
important;1094
scale;1088
novel;1083
range;1074
test;1068
build;1060
review;1046
within;1045
curriculum;1040
different;1040
diverse;1039
attack;1036
field;1026
theory;1021
reflect;1008
advanced;1005
key;990
plan;983
number;978
criterion;974
collaborative;960
among;947
establish;939
way;936
engage;935
objective;934
behavior;933
multiple;928
involve;914
workforce;914
deem;914
worthy;912
statutory;907
technical;901
open;900
skill;890
virtual;883
outreach;879
solution;876
center;871
interdisciplinary;870
benefit;868
issue;867
environmental;859
online;858
discipline;852
fund;849
integration;848
broad;848
significant;847
addition;841
fundamental;838
facility;837
organization;832
proposal;832
strategy;830
property;830
part;828
source;824
together;820
related;818
domain;817
facilitate;805
site;799
participation;799
water;795
teacher;786
conduct;783
emerge;780
apply;779
implement;778
secure;776
contribute;776
international;767
career;764
individual;764
major;762
leverage;761
interest;760
explore;759
underrepresented;750
may;747
participant;746
experiment;738
promote;734
teach;734
operation;733
effective;731
serve;727
mechanism;726
government;723
world;722
machine;722
policy;720
internet;717
campus;711
local;703
take;702
specific;696
participate;695
analyze;690
concept;685
several;681
architecture;680
efficient;680
achieve;676
produce;676
experimental;676
ensure;672
engineer;671
response;667
implementation;667
ability;664
sense;662
global;661
quality;660
offer;659
target;653
question;653
conference;651
event;650
various;647
become;646
people;643
partner;641
academic;640
visualization;639
role;637
evaluate;636
minority;632
however;629
processing;629
meeting;627
detection;625
interface;625
cloud;624
grid;623
innovative;622
order;621
wide;620
expertise;620
generate;619
hardware;619
expect;614
outcome;612
combine;609
monitoring;605
image;603
form;603
associate;601
privacy;594
bring;594
expand;590
expert;589
investigate;589
decision;589
product;588
innovation;586
society;582
general;579
variety;574
natural;571
health;569
module;564
partnership;563
code;563
unique;563
thus;562
laboratory;560
example;560
task;559
context;558
seek;556
disseminate;551
computation;550
aspect;548
risk;548
small;547
cost;546
reduce;546
instrument;545
topic;536
vehicle;534
function;534
climate;532
safety;532
generation;531
economic;531
database;531
degree;530
member;529
feature;528
foundation;527
investigator;526
train;526
sensor;522
theoretical;517
life;517
smart;516
would;514
type;511
capacity;511
collection;510
present;508
optimization;505
collect;505
manufacturing;505
give;505
possible;502
transfer;502
woman;497
population;496
idea;495
assessment;495
extend;493
strong;492
physic;491
networking;489
highly;489
particular;489
threat;481
grow;480
methodology;479
space;478
datasets;477
incorporate;476
measurement;472
perform;471
requirement;470
effect;470
regional;469
biological;469
nation;467
solve;465
robust;465
chemistry;464
demonstrate;462
agency;462
follow;462
foster;461
storage;461
best;460
often;460
continue;459
cps;458
planning;456
currently;453
wireless;452
core;451
content;451
link;450
manage;446
specifically;446
lab;445
due;443
ecosystem;443
web;440
class;440
represent;439
connect;438
analytics;438
detect;432
successful;429
biology;428
chemical;428
initiative;428
relevant;426
around;424
case;424
language;423
automate;423
real;421
scalable;421
measure;421
demand;421
big;419
transform;418
success;418
call;418
enables;417
standard;416
relationship;415
region;415
common;412
beyond;411
traffic;411
must;408
modern;407
business;406
distribution;406
vulnerability;405
prepare;404
meet;404
increasingly;403
embed;402
traditional;401
insight;401
know;401
directly;398
condition;397
host;397
technological;397
great;397
flow;395
term;395
recent;393
sustainable;388
maintain;387
awareness;387
predict;386
significantly;386
pattern;384
report;383
practical;382
nature;380
active;379
limited;379
scholarship;378
molecular;378
efficiency;376
comprehensive;375
formal;374
educator;374
element;374
protocol;373
without;372
transportation;371
low;371
progress;371
interact;371
deployment;370
determine;364
inform;364
discovery;364
exchange;363
growth;363
interactive;361
upon;361
feedback;359
ii;358
transition;358
cluster;357
defense;357
organize;357
classroom;357
gain;356
necessary;355
electronic;355
medical;355
essential;354
diversity;354
principle;353
engagement;353
employ;353
effectively;352
vision;352
sample;351
especially;350
couple;350
mentor;349
parallel;349
industrial;349
signal;349
dissemination;347
accessible;347
remote;347
repository;346
creation;345
year;342
complexity;342
face;341
accelerate;340
early;338
utilize;337
gap;336
prediction;335
track;335
allows;335
even;334
grant;334
prototype;334
develops;334
stakeholder;332
importance;327
societal;327
funding;326
encourage;325
pursue;323
synthesis;323
exploit;323
investment;323
value;322
improvement;322
towards;321
introduce;320
undergraduate;320
factor;320
place;319
presentation;318
particularly;317
direct;316
trust;316
hybrid;315
autonomous;315
observation;315
guide;314
define;314
coordinate;313
medium;313
city;313
intelligent;312
along;311
verification;311
exploration;311
reach;311
main;311
uncertainty;311
ass;310
additional;310
surface;310
collaborate;309
rapid;308
deep;308
protect;308
overall;308
capture;307
paradigm;306
