Words;Count;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;UpToLast10Year;Last10Year;FirstUsedYear;FirstUsedNum
project;12591;1;1;1;0;0;1;0;2;0;0;2;3;2;1;9;6;1;32;100;137;175;254;366;425;650;754;582;609;768;861;1171;1091;1255;1286;1357;688;2923;9668;1985;1
research;11856;2;0;0;5;0;2;0;1;0;0;8;4;7;8;10;4;5;41;146;143;188;313;382;503;758;919;577;688;751;783;978;1210;988;931;936;565;3449;8407;1985;2
data;8985;0;4;1;1;0;0;2;1;0;0;2;0;1;1;2;7;0;18;80;169;143;215;209;228;389;456;272;458;650;645;708;926;1110;952;906;429;1929;7056;1986;4
system;8771;5;2;3;4;0;1;1;1;0;0;1;0;1;5;4;1;1;49;84;168;152;219;241;279;439;512;354;438;518;602;952;773;967;775;785;434;2173;6598;1985;5
student;7762;1;1;2;1;0;1;0;0;0;0;1;7;1;1;6;4;6;9;69;59;120;181;246;294;514;558;444;466;491;485;631;729;685;728;679;342;2082;5680;1985;1
use;7377;0;0;5;6;0;1;2;0;0;0;2;6;6;5;4;5;1;27;48;72;111;177;201;244;447;460;293;349;457;427;524;618;626;876;931;446;1830;5547;1987;5
support;5141;2;0;2;0;0;2;0;1;0;0;0;3;1;2;4;2;1;14;45;65;104;135;161;167;252;246;192;238;237;307;316;437;301;697;765;442;1209;3932;1985;2
science;5082;1;0;0;0;0;0;0;1;0;0;2;4;0;1;2;0;0;29;59;65;99;182;187;231;340;393;279;326;324;315;329;418;359;439;481;216;1596;3486;1985;1
provide;4938;0;0;1;2;0;1;0;0;0;0;3;0;2;1;2;9;1;18;47;83;127;136;160;180;297;381;227;249;308;322;427;498;433;419;377;227;1451;3487;1987;1
model;4699;1;0;3;8;0;0;1;0;0;0;0;4;4;4;0;0;2;16;46;62;74;121;122;171;269;310;174;305;349;271;387;389;402;446;514;244;1218;3481;1985;1
include;4467;1;0;3;1;0;2;0;1;0;0;1;3;5;4;2;1;2;19;38;79;86;112;175;160;282;307;216;225;262;305;340;405;391;396;449;194;1284;3183;1985;1
community;4236;0;0;0;0;0;0;0;0;0;0;0;1;1;13;12;0;1;26;50;49;119;107;155;166;214;241;236;243;287;326;306;392;317;414;375;185;1155;3081;1996;1
design;4194;0;0;4;2;0;0;0;0;0;0;0;6;2;2;8;3;0;8;23;57;58;96;131;196;196;216;145;243;277;337;488;373;459;332;379;153;1008;3186;1987;4
develop;4193;0;0;2;3;0;0;0;1;0;0;0;5;0;2;1;4;1;9;37;64;69;129;140;159;247;315;198;199;276;230;340;355;430;384;401;192;1188;3005;1987;2
network;4171;1;0;1;1;0;1;0;1;0;0;2;0;0;0;9;0;0;31;71;82;91;135;91;168;269;265;171;216;247;357;377;436;316;381;335;116;1219;2952;1985;1
learn;3728;0;1;1;0;0;0;0;0;0;0;0;4;0;0;1;1;0;3;26;17;30;46;77;112;179;176;187;194;294;318;375;418;306;339;425;198;674;3054;1986;1
impact;3664;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;18;36;59;86;95;128;243;203;158;195;201;160;221;237;232;556;559;270;875;2789;1997;1
development;3549;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;13;53;54;107;124;119;179;228;233;195;251;222;228;275;271;258;304;276;150;1119;2430;1996;2
technology;3423;0;1;0;0;0;0;0;0;0;0;3;1;2;0;2;6;0;23;49;59;87;90;123;134;206;179;179;179;219;277;361;315;278;271;264;115;965;2458;1986;1
security;3350;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;17;84;49;54;37;47;63;96;149;140;171;241;231;339;387;426;369;329;117;600;2750;1998;4
tool;3316;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;12;51;36;79;105;148;177;184;228;156;207;209;215;264;250;333;272;249;137;1024;2292;1990;1
engineering;2964;1;0;0;2;0;0;0;1;0;0;4;1;4;0;2;0;0;11;26;36;67;97;170;128;195;254;132;145;175;182;226;270;259;247;217;112;999;1965;1985;1
software;2914;1;1;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;2;14;39;64;55;101;85;94;149;142;198;207;225;267;307;262;347;239;110;610;2304;1985;1
education;2830;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;18;36;25;65;62;100;138;197;248;136;184;158;203;196;232;217;208;281;122;893;1937;1987;3
information;2793;0;0;3;0;0;2;0;1;0;0;3;3;0;1;1;7;6;25;78;73;85;61;99;136;181;199;150;156;163;144;225;240;222;239;216;74;964;1829;1987;3
application;2700;0;0;5;0;0;1;0;0;0;0;2;1;0;2;0;1;0;8;18;45;67;81;120;97;154;184;119;119;170;196;246;219;253;236;232;124;786;1914;1987;5
work;2622;3;0;0;1;0;4;0;0;0;0;0;1;0;0;1;1;1;7;40;33;47;73;105;123;171;184;128;199;165;164;209;200;187;255;215;105;795;1827;1985;3
researcher;2563;0;0;1;0;0;0;0;0;0;0;2;0;1;2;1;0;0;7;31;30;37;58;85;113;128;158;113;163;160;181;213;224;257;213;242;143;654;1909;1987;1
infrastructure;2506;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;15;35;64;55;76;64;91;115;124;90;137;151;181;272;343;222;183;209;77;641;1865;1995;2
compute;2473;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;8;20;33;70;77;75;88;118;148;66;133;122;142;170;235;263;275;232;194;641;1832;1991;1
