;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
system;5;2;3;4;4;1;1;1;1;1;1;0;1;5;4;1;1;49;84;168;152;219;241;279;439;512;354;438;518;602;952;773;967;775;785;434
robot;4;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;1;1;17;19;8;7;5;26;14;43;12;36;33;25;19
station;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;6;5;17;1;4;5;7;12;6;14;2;9;0
work;3;0;0;1;1;4;0;0;0;0;0;1;0;0;1;1;1;7;40;33;47;73;105;123;171;184;128;199;165;164;209;200;187;255;215;105
computer;3;2;5;2;2;3;0;1;1;1;2;5;2;4;14;1;1;22;33;41;42;70;77;97;102;121;90;135;95;137;146;174;171;199;165;120
control;3;1;0;1;1;2;0;1;1;1;0;3;0;2;0;3;3;7;14;23;18;54;33;102;102;107;58;111;128;139;319;162;246;191;247;100
research;2;0;0;5;5;2;0;1;1;1;8;4;7;8;10;4;5;41;146;143;188;313;382;503;758;919;577;688;751;783;978;1210;988;931;936;565
support;2;0;2;0;0;2;0;1;1;1;0;3;1;2;4;2;1;14;45;65;104;135;161;167;252;246;192;238;237;307;316;437;301;697;765;442
acquisition;2;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;10;9;5;4;17;7;11;14;14;10;18;11;15;15;8;3
device;2;0;0;0;0;0;0;0;0;0;1;3;0;2;0;2;0;0;10;3;2;13;21;43;54;68;32;100;109;102;149;147;120;158;132;37
technique;2;2;4;4;4;0;1;0;0;0;0;0;2;3;1;0;0;1;9;7;25;37;42;59;75;125;50;57;121;98;128;127;156;159;146;66
diverse;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;8;7;25;31;46;38;51;70;57;66;80;61;63;88;95;93;113;39
video;2;0;1;0;0;0;0;0;0;0;0;0;0;1;4;1;0;6;1;2;3;2;12;22;16;15;13;6;8;24;16;11;32;19;8;24
image;2;0;2;0;0;0;0;1;1;1;4;0;3;0;1;0;0;2;8;1;3;5;5;11;30;26;18;26;23;66;33;82;89;63;73;26
study;1;0;0;2;2;0;2;0;0;0;0;0;0;0;4;3;7;13;21;34;26;100;67;140;192;134;152;127;167;141;196;183;190;164;221;70
distribute;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;22;19;34;41;47;50;80;86;50;87;62;45;88;84;104;87;79;42
characterization;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;4;7;9;12;23;15;6;10;8;8;13;15;19;11;10;1
house;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;1;0;4;1;8;14;3;7;4;0;4;2;4;2;1;1
demand;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;9;6;10;6;16;27;14;23;24;20;58;34;53;34;58;20
neural;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;2;0;0;0;0;4;2;4;1;0;1;1;1;4;7;20;41;7
flexible;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;6;2;3;7;11;12;6;6;7;9;15;17;19;22;34;13
consist;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;0;1;12;14;8;11;11;12;17;13;9;20;11;21;13;26;8
preprocessors;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
school;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;10;13;18;14;41;30;43;121;97;121;69;71;73;92;95;113;99;116;64
