Words;Count;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;UpToLast10Year;Last10Year;FirstUsedYear;FirstUsedNum;FirstUsedSeq
data;8985;0;4;5;6;6;6;8;9;9;9;11;11;12;13;15;22;22;40;120;289;432;647;856;1084;1473;1929;2201;2659;3309;3954;4662;5588;6698;7650;8556;8985;1929;7056;1986;4;2
system;8771;5;7;10;14;14;15;16;17;17;17;18;18;19;24;28;29;30;79;163;331;483;702;943;1222;1661;2173;2527;2965;3483;4085;5037;5810;6777;7552;8337;8771;2173;6598;1985;5;9
support;5141;2;2;4;4;4;6;6;7;7;7;7;10;11;13;17;19;20;34;79;144;248;383;544;711;963;1209;1401;1639;1876;2183;2499;2936;3237;3934;4699;5141;1209;3932;1985;2;8
develop;4193;0;0;2;5;5;5;5;6;6;6;6;11;11;13;14;18;19;28;65;129;198;327;467;626;873;1188;1386;1585;1861;2091;2431;2786;3216;3600;4001;4193;1188;3005;1987;2;17
network;4171;1;1;2;3;3;4;4;5;5;5;7;7;7;7;16;16;16;47;118;200;291;426;517;685;954;1219;1390;1606;1853;2210;2587;3023;3339;3720;4055;4171;1219;2952;1985;1;7
technology;3423;0;1;1;1;1;1;1;1;1;1;4;5;7;7;9;15;15;38;87;146;233;323;446;580;786;965;1144;1323;1542;1819;2180;2495;2773;3044;3308;3423;965;2458;1986;1;1
security;3350;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;21;105;154;208;245;292;355;451;600;740;911;1152;1383;1722;2109;2535;2904;3233;3350;600;2750;1998;4;2
tool;3316;0;0;0;0;0;1;1;1;1;1;1;2;3;3;4;4;4;16;67;103;182;287;435;612;796;1024;1180;1387;1596;1811;2075;2325;2658;2930;3179;3316;1024;2292;1990;1;6
engineering;2964;1;1;1;3;3;3;3;4;4;4;8;9;13;13;15;15;15;26;52;88;155;252;422;550;745;999;1131;1276;1451;1633;1859;2129;2388;2635;2852;2964;999;1965;1985;1;5
software;2914;1;2;3;3;3;3;3;3;3;3;3;5;5;6;7;7;7;9;23;62;126;181;282;367;461;610;752;950;1157;1382;1649;1956;2218;2565;2804;2914;610;2304;1985;1;1
information;2793;0;0;3;3;3;5;5;6;6;6;9;12;12;13;14;21;27;52;130;203;288;349;448;584;765;964;1114;1270;1433;1577;1802;2042;2264;2503;2719;2793;964;1829;1987;3;14
application;2700;0;0;5;5;5;6;6;6;6;6;8;9;9;11;11;12;12;20;38;83;150;231;351;448;602;786;905;1024;1194;1390;1636;1855;2108;2344;2576;2700;786;1914;1987;5;13
infrastructure;2506;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;17;52;116;171;247;311;402;517;641;731;868;1019;1200;1472;1815;2037;2220;2429;2506;641;1865;1995;2;5
cybersecurity;2443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;29;47;48;61;67;99;117;175;287;419;580;843;1151;1480;1891;2265;2443;117;2326;2002;4;20
cyberinfrastructure;2419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;30;76;160;328;460;605;792;1028;1130;1300;1435;1553;1656;1825;1989;2133;2319;2419;1028;1391;2002;6;18
computational;2225;0;0;3;6;6;7;7;9;9;9;12;12;12;12;12;12;12;13;26;48;97;207;274;377;552;711;837;956;1084;1214;1352;1588;1765;1916;2126;2225;711;1514;1987;3;11
workshop;2206;0;0;0;0;0;0;0;1;1;1;1;1;1;9;9;9;9;19;85;139;184;311;459;586;678;824;919;1086;1247;1393;1542;1738;1835;1989;2135;2206;824;1382;1992;1;1
analysis;2162;1;4;4;5;5;5;6;7;7;7;8;8;10;11;13;20;20;35;50;72;119;180;232;296;428;556;645;757;935;1114;1311;1503;1699;1864;2076;2162;556;1606;1985;1;4
computer;2082;3;5;10;12;12;15;15;16;16;16;18;23;25;29;43;44;45;67;100;141;183;253;330;427;529;650;740;875;970;1107;1253;1427;1598;1797;1962;2082;650;1432;1985;3;6
environment;1873;0;0;0;1;1;1;1;1;1;1;3;6;6;6;7;7;9;17;39;68;108;149;201;282;414;529;616;762;896;1007;1187;1359;1542;1677;1814;1873;529;1344;1988;1;3
