Words;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
data;0;4;5;6;6;6;8;9;9;9;11;11;12;13;15;22;22;40;120;289;432;647;856;1084;1473;1929;2201;2659;3309;3954;4662;5588;6698;7650;8556;8985
system;5;7;10;14;14;15;16;17;17;17;18;18;19;24;28;29;30;79;163;331;483;702;943;1222;1661;2173;2527;2965;3483;4085;5037;5810;6777;7552;8337;8771
support;2;2;4;4;4;6;6;7;7;7;7;10;11;13;17;19;20;34;79;144;248;383;544;711;963;1209;1401;1639;1876;2183;2499;2936;3237;3934;4699;5141
develop;0;0;2;5;5;5;5;6;6;6;6;11;11;13;14;18;19;28;65;129;198;327;467;626;873;1188;1386;1585;1861;2091;2431;2786;3216;3600;4001;4193
network;1;1;2;3;3;4;4;5;5;5;7;7;7;7;16;16;16;47;118;200;291;426;517;685;954;1219;1390;1606;1853;2210;2587;3023;3339;3720;4055;4171
technology;0;1;1;1;1;1;1;1;1;1;4;5;7;7;9;15;15;38;87;146;233;323;446;580;786;965;1144;1323;1542;1819;2180;2495;2773;3044;3308;3423
security;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;21;105;154;208;245;292;355;451;600;740;911;1152;1383;1722;2109;2535;2904;3233;3350
tool;0;0;0;0;0;1;1;1;1;1;1;2;3;3;4;4;4;16;67;103;182;287;435;612;796;1024;1180;1387;1596;1811;2075;2325;2658;2930;3179;3316
engineering;1;1;1;3;3;3;3;4;4;4;8;9;13;13;15;15;15;26;52;88;155;252;422;550;745;999;1131;1276;1451;1633;1859;2129;2388;2635;2852;2964
software;1;2;3;3;3;3;3;3;3;3;3;5;5;6;7;7;7;9;23;62;126;181;282;367;461;610;752;950;1157;1382;1649;1956;2218;2565;2804;2914
information;0;0;3;3;3;5;5;6;6;6;9;12;12;13;14;21;27;52;130;203;288;349;448;584;765;964;1114;1270;1433;1577;1802;2042;2264;2503;2719;2793
application;0;0;5;5;5;6;6;6;6;6;8;9;9;11;11;12;12;20;38;83;150;231;351;448;602;786;905;1024;1194;1390;1636;1855;2108;2344;2576;2700
infrastructure;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;17;52;116;171;247;311;402;517;641;731;868;1019;1200;1472;1815;2037;2220;2429;2506
cybersecurity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;29;47;48;61;67;99;117;175;287;419;580;843;1151;1480;1891;2265;2443
cyberinfrastructure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;30;76;160;328;460;605;792;1028;1130;1300;1435;1553;1656;1825;1989;2133;2319;2419
computational;0;0;3;6;6;7;7;9;9;9;12;12;12;12;12;12;12;13;26;48;97;207;274;377;552;711;837;956;1084;1214;1352;1588;1765;1916;2126;2225
workshop;0;0;0;0;0;0;0;1;1;1;1;1;1;9;9;9;9;19;85;139;184;311;459;586;678;824;919;1086;1247;1393;1542;1738;1835;1989;2135;2206
analysis;1;4;4;5;5;5;6;7;7;7;8;8;10;11;13;20;20;35;50;72;119;180;232;296;428;556;645;757;935;1114;1311;1503;1699;1864;2076;2162
computer;3;5;10;12;12;15;15;16;16;16;18;23;25;29;43;44;45;67;100;141;183;253;330;427;529;650;740;875;970;1107;1253;1427;1598;1797;1962;2082
environment;0;0;0;1;1;1;1;1;1;1;3;6;6;6;7;7;9;17;39;68;108;149;201;282;414;529;616;762;896;1007;1187;1359;1542;1677;1814;1873
program;0;0;7;7;7;8;8;8;8;8;8;10;10;11;11;11;12;21;43;68;114;164;214;254;361;477;553;662;775;882;1036;1198;1315;1482;1626;1697
technique;2;4;8;12;12;12;13;13;13;13;13;13;15;18;19;19;19;20;29;36;61;98;140;199;274;399;449;506;627;725;853;980;1136;1295;1441;1507
simulation;0;0;0;0;0;2;2;2;2;2;4;4;4;6;7;7;7;7;18;26;59;125;211;273;356;444;529;644;718;778;852;997;1123;1294;1423;1501
framework;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;4;22;47;55;85;119;160;227;311;372;448;531;617;750;882;1032;1206;1402;1480
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;10;26;49;78;117;152;202;264;333;372;454;547;642;780;964;1107;1228;1341;1387
algorithm;0;0;0;5;5;5;5;5;5;5;5;5;7;7;7;7;7;9;19;27;53;74;88;126;206;275;306;352;424;483;596;723;914;1062;1242;1344
service;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;5;8;20;40;72;116;132;220;259;340;433;510;579;671;752;853;974;1076;1192;1298;1338
device;2;2;2;2;2;2;2;2;2;2;3;6;6;8;8;10;10;10;20;23;25;38;59;102;156;224;256;356;465;567;716;863;983;1141;1273;1310
performance;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;4;13;43;66;85;146;190;266;320;370;407;479;582;712;829;978;1110;1242;1303
communication;0;0;1;1;1;1;1;1;1;1;3;9;9;9;10;13;14;30;49;59;70;91;134;180;241;313;376;429;523;603;737;835;948;1075;1174;1208
platform;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;14;31;60;94;140;196;252;303;392;485;608;710;852;985;1119;1152
dynamic;0;0;1;2;2;3;3;4;4;4;4;4;4;6;6;6;6;13;18;23;41;83;122;182;249;314;369;412;489;551;665;765;888;978;1100;1145
test;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;9;12;14;19;40;56;85;108;145;218;265;327;386;445;519;615;747;881;973;1046;1069
attack;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;28;48;60;90;110;139;170;200;243;267;317;376;478;573;749;894;990;1036
technical;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;3;3;5;15;28;43;74;108;146;191;240;275;320;379;425;498;578;666;760;831;901
online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;10;13;20;28;42;64;115;165;196;261;336;416;513;578;655;736;818;858
secure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;24;41;47;57;71;112;135;147;178;219;275;346;436;543;649;730;776
machine;0;0;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;11;12;18;23;27;38;64;93;108;122;154;178;245;318;402;501;657;725
internet;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;5;26;33;69;79;93;109;135;176;212;244;272;323;384;432;482;564;633;693;720
target;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;7;15;23;32;44;71;89;119;168;212;236;280;322;373;424;500;574;637;656
global;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;6;21;37;63;89;109;188;252;289;321;363;400;463;510;557;595;632;650
visualization;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;17;27;43;60;91;137;191;269;298;348;416;469;507;548;576;606;625;639
detection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;41;51;61;63;69;99;148;162;180;220;243;304;380;453;532;597;625
cloud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;19;68;109;142;181;252;310;391;455;552;599;624
grid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;32;59;94;120;126;160;190;216;255;274;286;351;392;475;528;602;624
innovative;0;0;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;4;8;13;30;44;68;89;127;163;195;242;270;326;399;447;487;546;597;621
hardware;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;6;14;22;26;36;51;72;97;117;141;196;249;295;352;440;500;590;619
