State;University_Name
Alabama;Alabama A&M University 
Alabama;Alabama State University 
Alabama;Athens State University
Alabama;Auburn University
Alabama;Auburn University at Montgomery
Alabama;Jacksonville State University
Alabama;Troy University
Alabama;University of Alabama
Alabama;University of Alabama at Birm
Alaska;University of Alaska
Alaska;University of Alaska Fairbanks 
Alaska;University of Alaska Anchorage 
Alaska;University of Alaska Southeast 
Arizona;Arizona Board of Regents
Arizona;Arizona State University 
Arizona;Northern Arizona University 
Arizona;University of Arizona
Arkansas;University of Arkansas
Arkansas;University of Arkansas at Little Rock
Arkansas;University of Arkansas for Medical Sciences
Arkansas;University of Arkansas at Monticello
Arkansas;University of Arkansas at Pine Bluff
Arkansas;Arkansas State University
Arkansas;Arkansas Tech University
Arkansas;University of Central Arkansas 
Arkansas;Henderson State University
Arkansas;Southern Arkansas University 
California;University of California
California;University of California, Berkeley 
California;University of California, Davis 
California;University of California, Irvine 
California;University of California, Los Angeles 
California;University of California, Merced 
California;University of California, Riverside 
California;University of California, San Diego 
California;University of California, San Francisco 
California;University of California, Santa Barbara 
California;University of California, Santa Cruz 
California;California State University
California;California State University, Bakersfield 
California;California State University, Channel Islands 
California;California State University, Chico 
California;California State University, Dominguez Hills 
California;California State University, East Bay 
California;California State University, Fresno 
California;California State University, Fullerton 
California;Humboldt State University 
California;California State University, Long Beach 
California;California State University, Los Angeles 
California;California Maritime Academy 
California;California State University, Monterey Bay 
California;California State University, Northridge 
California;California State Polytechnic University, Pomona 
California;California State University, Sacramento 
California;California State University, San Bernardino 
California;San Diego State University 
California;San Francisco State University 
California;San Jose State University 
California;California Polytechnic State University, San Luis Obispo 
California;California State University, San Marcos 
California;Sonoma State University 
California;California State University, Stanislaus 
Colorado;Adams State University
Colorado;University of Colorado
Colorado;University of Colorado Boulder 
Colorado;University of Colorado Colorado Springs 
Colorado;University of Colorado Denver 
Colorado;Colorado Mesa University
Colorado;Colorado School of Mines
Colorado;Colorado State University
Colorado;Colorado State University 
Colorado;Colorado State University Pueblo 
Colorado;Colorado State University Global Campus 
Colorado;Fort Lewis College
Colorado;Metropolitan State University of Denver
Colorado;University of Northern Colorado
Colorado;Western Colorado University 
Connecticut;Charter Oak State College 
Connecticut;Connecticut State University
Connecticut;Central Connecticut State University 
Connecticut;Eastern Connecticut State University 
Connecticut;Southern Connecticut State University 
Connecticut;Western Connecticut State University 
Connecticut;University of Connecticut
Delaware;University of Delaware 
Delaware;Delaware State University
Delaware;District of Columbia
Delaware;University of the District of Columbia 
Florida;State University of Florida
Florida;Florida A&M University 
Florida;Florida Atlantic University 
Florida;Florida Gulf Coast University 
Florida;Florida International University 
Florida;Florida Polytechnic University 
Florida;Florida State University 
Florida;New College of Florida 
Florida;University of Central Florida 
Florida;University of Florida 
Florida;University of North Florida 
Florida;University of South Florida
Florida;University of South Florida 
Florida;University of South Florida St. Petersburg 
Florida;University of West Florida 
Florida;Florida College 
Florida;Broward College
Florida;Chipola College
Florida;College of Central Florida
Florida;Daytona State College
Florida;Eastern Florida State College
Florida;Florida Gateway College
Florida;Florida SouthWestern State College
Florida;Florida State College at Jacksonville
Florida;Gulf Coast State College
Florida;Indian River State College
Florida;Lake Sumter State College
Florida;Miami Dade College
Florida;Northwest Florida State College
Florida;Palm Beach State College
Florida;Pasco Hernando State College
Florida;Pensacola State College
Florida;Polk State College
Florida;Santa Fe College
Florida;Seminole State College of Florida
Florida;South Florida State College
Florida;St. Johns River State College
Florida;St. Petersburg College
Florida;State College of Florida, Manatee Sarasota
Florida;Tallahassee Community College
Florida;Valencia College
Georgia;University of Georgia
Georgia;Abraham Baldwin Agricultural College 
Georgia;Albany State University
Georgia;Atlanta Metropolitan State College
Georgia;Augusta University 
Georgia;Clayton State University
Georgia;College of Coastal Georgia 
Georgia;Columbus State University
Georgia;Dalton State College
Georgia;East Georgia State College
Georgia;Fort Valley State University 
Georgia;Georgia College and State University 
Georgia;Georgia Gwinnett College
Georgia;Georgia Highlands College 
Georgia;Georgia Institute of Technology 
Georgia;Georgia Southern University
Georgia;Georgia Southwestern State University 
Georgia;Georgia State University 
Georgia;Gordon State College
Georgia;Kennesaw State University 
Georgia;Middle Georgia State University
Georgia;Savannah State University
Georgia;South Georgia State College 
Georgia;University of Georgia 
Georgia;University of North Georgia 
Georgia;University of West Georgia 
Georgia;Valdosta State University 
Guam;University of Guam
Hawaii;University of Hawaii
Hawaii;University of Hawaii at Mnoa 
Hawaii;University of Hawaii at Hilo 
Hawaii;University of Hawaii Maui College
Hawaii;University of Hawaii West Oahu 
Idaho;Boise State University 
Idaho;University of Idaho 
Idaho;Idaho State University 
Idaho;Lewis Clark State College
Illinois;Chicago State University 
Illinois;Eastern Illinois University 
Illinois;Governors State University
Illinois;Illinois State University 
Illinois;University of Illinois
Illinois;University of Illinois at Urbana Champaign 
Illinois;University of Illinois at Chicago 
Illinois;University of Illinois at Springfield 
Illinois;Northeastern Illinois University
Illinois;Northern Illinois University 
Illinois;Southern Illinois University
Illinois;Southern Illinois University Carbondale 
Illinois;Southern Illinois University Edwardsville 
Illinois;Western Illinois University 
Indiana;Ball State University
Indiana;Indiana University
Indiana;Indiana University Bloomington 
Indiana;Indiana University East
Indiana;Indiana University Fort Wayne
Indiana;Indiana University Kokomo 
Indiana;Indiana University Northwest
Indiana;Indiana University South Bend 
Indiana;Indiana University Southeast
Indiana;Indiana State University
Indiana;Purdue University
Indiana;Purdue University 
Indiana;Purdue University Fort Wayne 
Indiana;Purdue University Northwest
Indiana;University of Southern Indiana 
Indiana;Vincennes University 
Iowa;University of Iowa 
Iowa;Iowa State University 
Iowa;University of Northern Iowa 
Kansas;Emporia State University 
Kansas;Fort Hays State University 
Kansas;University of Kansas 
